perturbation_amp_tuning_factor,perturbation_amp_noise_scale,train_mean_ratio,test_mean_ratio,sim_mean_ratio
0.04,0.01,0.901272325,0.983858694,0.893939394
0.04,0.01,0.965694565,0.919436454,0.893939394
0.04,0.01,0.961991477,0.923139543,0.893939394
0.04,0.01,1.011369953,0.873761067,0.893939394
0.04,0.01,0.939835727,0.945295292,0.893939394
0.04,0.01,0.984058408,0.901072611,0.893939394
0.04,0.01,0.94715182,0.9379792,0.893939394
0.04,0.01,0.962036366,0.923094653,0.893939394
0.04,0.01,0.877132897,1.007998123,0.893939394
0.04,0.01,0.947130672,0.938000348,0.893939394
0.04,0.01,0.957715009,0.927416011,0.893939394
0.04,0.01,0.914391892,0.970739128,0.893939394
0.18,0.01,0.860237679,1.02489334,0.830985915
0.04,0.01,1.010523477,0.874607542,0.893939394
0.04,0.01,0.910929306,0.974201713,0.893939394
0.04,0.01,1.011845818,0.873285201,0.893939394
0.04,0.01,0.866824078,1.018306942,0.893939394
0.04,0.01,0.989195248,0.895935772,0.893939394
0.04,0.01,0.944364814,0.940766205,0.893939394
0.04,0.01,0.94753693,0.93759409,0.893939394
0.04,0.01,0.997448801,0.887682219,0.893939394
0.04,0.01,1.024489519,0.8606415,0.893939394
0.04,0.01,1.032372914,0.852758106,0.893939394
0.04,0.01,1.03268598,0.85244504,0.893939394
0.04,0.01,0.882160269,1.00297075,0.893939394
0.04,0.01,0.970426062,0.914704958,0.893939394
0.04,0.01,0.971029598,0.914101422,0.893939394
0.04,0.01,1.011773774,0.873357245,0.893939394
0.04,0.01,0.94835162,0.9367794,0.893939394
0.04,0.01,0.882564091,1.002566929,0.893939394
0.04,0.01,0.936870156,0.948260864,0.893939394
0.04,0.01,0.981994944,0.903136076,0.893939394
0.04,0.01,0.951744936,0.933386084,0.893939394
0.04,0.01,0.868229943,1.016901077,0.893939394
0.04,0.01,0.957099271,0.928031749,0.893939394
0.04,0.01,0.917066994,0.968064026,0.893939394
0.04,0.01,0.89642987,0.98870115,0.893939394
0.04,0.01,0.922297882,0.962833137,0.893939394
0.18,0.01,0.834683211,1.050447809,0.830985915
0.04,0.01,1.042664344,0.842466675,0.893939394
0.04,0.01,0.969865696,0.915265323,0.893939394
0.04,0.01,0.915220433,0.969910586,0.893939394
0.04,0.01,0.887332462,0.997798557,0.893939394
0.04,0.01,0.931096091,0.954034928,0.893939394
0.04,0.01,0.942315216,0.942815803,0.893939394
0.04,0.01,0.990942788,0.894188232,0.893939394
0.04,0.01,0.94753693,0.93759409,0.893939394
0.04,0.01,0.981084821,0.904046198,0.893939394
0.04,0.01,0.942315216,0.942815803,0.893939394
0.04,0.01,0.986614786,0.898516234,0.893939394
0.04,0.01,0.932951827,0.952179193,0.893939394
0.04,0.01,1.014539632,0.870591388,0.893939394
0.04,0.01,1.022019205,0.863111814,0.893939394
0.04,0.01,1.045420436,0.839710584,0.893939394
0.04,0.01,0.887297109,0.997833911,0.893939394
0.04,0.01,0.974442216,0.910688803,0.893939394
0.04,0.01,0.938789279,0.946341741,0.893939394
0.04,0.01,0.967513426,0.917617594,0.893939394
0.04,0.01,0.942097721,0.943033299,0.893939394
0.04,0.01,0.93706987,0.94806115,0.893939394
0.04,0.01,0.892763656,0.992367364,0.893939394
0.04,0.01,0.999756182,0.885374838,0.893939394
0.04,0.01,0.88855565,0.99657537,0.893939394
0.04,0.01,0.895279836,0.989851184,0.893939394
0.04,0.01,0.957080559,0.92805046,0.893939394
0.04,0.01,0.965694565,0.919436454,0.893939394
0.04,0.01,0.898306754,0.986824266,0.893939394
0.04,0.01,0.910405087,0.974725933,0.893939394
0.04,0.01,0.956551108,0.928579912,0.893939394
0.04,0.01,0.905498113,0.979632907,0.893939394
0.04,0.01,0.977867135,0.907263885,0.893939394
0.18,0.01,0.857876234,1.027254786,0.830985915
0.04,0.01,0.903737947,0.981393072,0.893939394
0.04,0.01,0.916119997,0.969011023,0.893939394
0.04,0.01,0.933816083,0.951314936,0.893939394
0.04,0.01,0.950098681,0.935032339,0.893939394
0.04,0.01,0.935738354,0.949392665,0.893939394
0.04,0.01,0.996060916,0.889070104,0.893939394
0.04,0.01,0.949482942,0.935648077,0.893939394
0.04,0.01,0.973797892,0.911333128,0.893939394
0.04,0.01,0.970739128,0.914391892,0.893939394
0.04,0.01,0.907648995,0.977482025,0.893939394
0.04,0.01,0.957306496,0.927824524,0.893939394
0.04,0.01,0.997394736,0.887736283,0.893939394
0.04,0.01,0.936572175,0.948558844,0.893939394
0.04,0.01,1.00634258,0.878788439,0.893939394
0.04,0.01,0.922302575,0.962828445,0.893939394
0.04,0.01,0.968273506,0.916857514,0.893939394
0.04,0.01,0.948736729,0.93639429,0.893939394
0.04,0.01,0.959316374,0.925814645,0.893939394
0.04,0.01,0.931348206,0.953782813,0.893939394
0.04,0.01,0.970829883,0.914301136,0.893939394
0.04,0.01,0.970354018,0.914777002,0.893939394
0.04,0.01,0.912424731,0.972706288,0.893939394
0.04,0.01,0.963848005,0.921283015,0.893939394
0.04,0.01,0.954438749,0.93069227,0.893939394
0.04,0.01,0.941295657,0.943835363,0.893939394
0.04,0.01,0.963892894,0.921238125,0.893939394
0.04,0.01,0.954343179,0.930787841,0.893939394
0.04,0.01,0.911948866,0.973182154,0.893939394
0.04,0.01,0.99597016,0.889160859,0.893939394
0.04,0.01,0.879734845,1.005396174,0.893939394
0.04,0.01,0.943431541,0.941699478,0.893939394
0.04,0.01,0.902732255,0.982398765,0.893939394
0.04,0.01,0.940350181,0.944780838,0.893939394
0.04,0.01,0.981175577,0.903955443,0.893939394
0.04,0.01,0.965298759,0.919832261,0.893939394
0.04,0.01,0.969698082,0.915432938,0.893939394
0.04,0.01,0.870591388,1.014539632,0.893939394
0.04,0.01,1.019253348,0.865877672,0.893939394
0.04,0.01,0.960172616,0.924958404,0.893939394
0.04,0.01,0.936177529,0.948953491,0.893939394
0.04,0.01,0.921172382,0.963958637,0.893939394
0.04,0.01,0.962828445,0.922302575,0.893939394
0.04,0.01,0.965307934,0.919823086,0.893939394
0.04,0.01,0.997403911,0.887727109,0.893939394
0.04,0.01,0.894592053,0.990538966,0.893939394
0.04,0.01,0.898516234,0.986614786,0.893939394
0.04,0.01,0.954198837,0.930932182,0.893939394
0.04,0.01,0.922202312,0.962928708,0.893939394
0.04,0.01,0.927420703,0.957710317,0.893939394
0.04,0.01,0.868633764,1.016497256,0.893939394
0.04,0.01,1.024498694,0.860632326,0.893939394
0.04,0.01,0.909082746,0.976048274,0.893939394
0.04,0.01,0.93069227,0.954438749,0.893939394
0.04,0.01,0.93186266,0.953268359,0.893939394
0.04,0.01,0.978627215,0.906503805,0.893939394
0.04,0.01,0.911739386,0.973391634,0.893939394
0.04,0.01,0.888338155,0.996792865,0.893939394
0.04,0.01,1.050447809,0.834683211,0.893939394
0.04,0.01,0.950117392,0.935013628,0.893939394
0.04,0.01,0.962928708,0.922202312,0.893939394
0.04,0.01,0.927633506,0.957497514,0.893939394
0.04,0.01,0.954728289,0.930402731,0.893939394
0.04,0.01,0.937293854,0.947837166,0.893939394
0.04,0.01,0.927416011,0.957715009,0.893939394
0.04,0.01,0.937384609,0.94774641,0.893939394
0.04,0.01,0.932861071,0.952269948,0.893939394
0.04,0.01,0.909477392,0.975653628,0.893939394
0.04,0.01,0.912424731,0.972706288,0.893939394
0.04,0.01,1.037804108,0.847326912,0.893939394
0.04,0.01,0.875637472,1.009493548,0.893939394
0.04,0.01,0.920742383,0.964388637,0.893939394
0.04,0.01,0.943033299,0.942097721,0.893939394
0.04,0.01,1.005232265,0.879898754,0.893939394
0.04,0.01,0.927416011,0.957715009,0.893939394
0.04,0.01,0.884541017,1.000590002,0.893939394
0.04,0.01,0.894188232,0.990942788,0.893939394
0.04,0.01,0.989851184,0.895279836,0.893939394
0.04,0.01,0.865759628,1.019371391,0.893939394
0.04,0.01,0.989611272,0.895519748,0.893939394
0.04,0.01,0.957701142,0.927429877,0.893939394
0.04,0.01,0.968056011,0.917075009,0.893939394
0.04,0.01,0.887682219,0.997448801,0.893939394
0.04,0.01,1.000204893,0.884926127,0.893939394
0.04,0.01,0.960263371,0.924867648,0.893939394
0.18,0.01,0.839801339,1.04532968,0.830985915
0.04,0.01,0.889070104,0.996060916,0.893939394
0.04,0.01,0.940463533,0.944667487,0.893939394
0.04,0.01,0.942097721,0.943033299,0.893939394
0.04,0.01,0.915650433,0.969480586,0.893939394
0.04,0.01,0.902217801,0.982913218,0.893939394
0.04,0.01,0.894077599,0.99105342,0.893939394
0.04,0.01,0.885476727,0.999654293,0.893939394
0.04,0.01,0.934285647,0.950845372,0.893939394
0.04,0.01,0.982398765,0.902732255,0.893939394
0.04,0.01,0.908254204,0.976876815,0.893939394
0.04,0.01,0.950502502,0.934628518,0.893939394
0.04,0.01,0.901072611,0.984058408,0.893939394
0.18,0.01,0.834683211,1.050447809,0.830985915
0.04,0.01,0.984795925,0.900335095,0.893939394
0.04,0.01,0.954298289,0.93083273,0.893939394
0.04,0.01,0.988904778,0.896226242,0.893939394
0.04,0.01,0.866779188,1.018351832,0.893939394
0.04,0.01,1.045805546,0.839325474,0.893939394
0.04,0.01,0.887736283,0.997394736,0.893939394
0.04,0.01,0.973696003,0.911435016,0.893939394
0.04,0.01,0.941295657,0.943835363,0.893939394
0.04,0.01,1.002879995,0.882251025,0.893939394
0.04,0.01,0.895550662,0.989580358,0.893939394
0.04,0.01,0.93369804,0.95143298,0.893939394
0.04,0.01,0.891835962,0.993295058,0.893939394
0.04,0.01,0.955348872,0.929782148,0.893939394
0.04,0.01,0.872327316,1.012803704,0.893939394
0.04,0.01,0.908869943,0.976261077,0.893939394
0.04,0.01,0.983673299,0.901457721,0.893939394
0.04,0.01,0.885872533,0.999258487,0.893939394
0.04,0.01,0.963848005,0.921283015,0.893939394
0.04,0.01,0.914200874,0.970930146,0.893939394
0.04,0.01,0.962928708,0.922202312,0.893939394
0.04,0.01,0.947528915,0.937602105,0.893939394
0.04,0.01,0.928579912,0.956551108,0.893939394
0.04,0.01,0.963958637,0.921172382,0.893939394
0.04,0.01,0.959774373,0.925356647,0.893939394
0.04,0.01,0.881544531,1.003586489,0.893939394
0.04,0.01,0.920479022,0.964651998,0.893939394
0.04,0.01,0.882160269,1.00297075,0.893939394
0.04,0.01,0.900765094,0.984365925,0.893939394
0.04,0.01,0.985825855,0.899305165,0.893939394
0.04,0.01,0.958912553,0.926218466,0.893939394
0.04,0.01,1.005396174,0.879734845,0.893939394
0.04,0.01,0.912039621,0.973091398,0.893939394
0.04,0.01,1.005232265,0.879898754,0.893939394
0.04,0.01,0.885329948,0.999801071,0.893939394
0.04,0.01,0.914604695,0.970526325,0.893939394
0.04,0.01,1.005396174,0.879734845,0.893939394
0.04,0.01,0.986614786,0.898516234,0.893939394
0.04,0.01,0.905857044,0.979273976,0.893939394
0.04,0.01,0.959316374,0.925814645,0.893939394
0.04,0.01,0.923094653,0.962036366,0.893939394
0.04,0.01,1.00570813,0.879422889,0.893939394
0.04,0.01,0.965307934,0.919823086,0.893939394
0.04,0.01,0.865877672,1.019253348,0.893939394
0.04,0.01,0.906902782,0.978228238,0.893939394
0.04,0.01,0.949482942,0.935648077,0.893939394
0.04,0.01,0.989923228,0.895207792,0.893939394
0.04,0.01,0.930787841,0.954343179,0.893939394
0.04,0.01,0.982913218,0.902217801,0.893939394
0.04,0.01,0.903521186,0.981609834,0.893939394
0.04,0.01,0.94282967,0.942301349,0.893939394
0.04,0.01,0.95143298,0.93369804,0.893939394
0.04,0.01,0.959316374,0.925814645,0.893939394
0.04,0.01,0.922297882,0.962833137,0.893939394
0.04,0.01,0.881544531,1.003586489,0.893939394
0.04,0.01,0.966245165,0.918885855,0.893939394
0.04,0.01,0.938385457,0.946745562,0.893939394
0.04,0.01,1.00672769,0.878403329,0.893939394
0.04,0.01,0.967109605,0.918021415,0.893939394
0.04,0.01,1.011773774,0.873357245,0.893939394
0.04,0.01,0.948260864,0.936870156,0.893939394
0.04,0.01,0.963444183,0.921686836,0.893939394
0.04,0.01,0.977463313,0.907667706,0.893939394
0.04,0.01,0.89604476,0.98908626,0.893939394
0.18,0.01,0.853776556,1.031354464,0.830985915
0.04,0.01,0.916164887,0.968966133,0.893939394
0.04,0.01,0.872255272,1.012875748,0.893939394
0.04,0.01,0.930004488,0.955126532,0.893939394
0.04,0.01,0.936033187,0.949097833,0.893939394
0.04,0.01,0.964278004,0.920853015,0.893939394
0.04,0.01,0.898285605,0.986845414,0.893939394
0.04,0.01,0.981175577,0.903955443,0.893939394
0.04,0.01,0.991963542,0.893167477,0.893939394
0.04,0.01,0.881159421,1.003971598,0.893939394
0.04,0.01,0.893288668,0.991842351,0.893939394
0.04,0.01,0.974442216,0.910688803,0.893939394
0.04,0.01,0.865759628,1.019371391,0.893939394
0.04,0.01,0.945595528,0.939535492,0.893939394
0.04,0.01,0.8773734,1.00775762,0.893939394
0.04,0.01,0.981175577,0.903955443,0.893939394
0.04,0.01,0.930185969,0.95494505,0.893939394
0.04,0.01,0.993295058,0.891835962,0.893939394
0.04,0.01,0.907667706,0.977463313,0.893939394
0.04,0.01,0.93369804,0.95143298,0.893939394
0.04,0.01,1.00297075,0.882160269,0.893939394
0.04,0.01,0.897900496,0.987230524,0.893939394
0.04,0.01,1.03230087,0.85283015,0.893939394
0.04,0.01,0.952864538,0.932266481,0.893939394
0.04,0.01,0.898285605,0.986845414,0.893939394
0.04,0.01,0.930932182,0.954198837,0.893939394
0.04,0.01,0.964792458,0.920338562,0.893939394
0.04,0.01,0.988904778,0.896226242,0.893939394
0.04,0.01,0.957715009,0.927416011,0.893939394
0.04,0.01,0.903117365,0.982013655,0.893939394
0.04,0.01,0.969324088,0.915806931,0.893939394
0.18,0.01,0.840114405,1.045016615,0.830985915
0.04,0.01,0.911739386,0.973391634,0.893939394
0.04,0.01,0.991963542,0.893167477,0.893939394
0.04,0.01,0.898524249,0.986606771,0.893939394
0.04,0.01,0.956551108,0.928579912,0.893939394
0.04,0.01,0.969396132,0.915734887,0.893939394
0.04,0.01,0.996484614,0.888646406,0.893939394
0.04,0.01,0.898920055,0.986210965,0.893939394
0.04,0.01,0.948558845,0.936572175,0.893939394
0.04,0.01,0.951577321,0.933553698,0.893939394
0.04,0.01,0.942301349,0.94282967,0.893939394
0.04,0.01,0.968264331,0.916866689,0.893939394
0.04,0.01,0.882178981,1.002952039,0.893939394
0.04,0.01,0.950302788,0.934828232,0.893939394
0.04,0.01,0.950189436,0.934941583,0.893939394
0.04,0.01,0.895207792,0.989923228,0.893939394
0.04,0.01,1.045420436,0.839710583,0.893939394
0.04,0.01,1.00960418,0.875526839,0.893939394
0.04,0.01,0.909477392,0.975653628,0.893939394
0.04,0.01,0.952269948,0.932861071,0.893939394
0.04,0.01,0.954741422,0.930389598,0.893939394
0.04,0.01,0.868229943,1.016901077,0.893939394
0.04,0.01,0.888338155,0.996792865,0.893939394
0.04,0.01,0.923750589,0.96138043,0.893939394
0.04,0.01,0.960180631,0.924950389,0.893939394
0.04,0.01,0.868229943,1.016901077,0.893939394
0.04,0.01,0.981084821,0.904046198,0.893939394
0.18,0.01,0.858280055,1.026850965,0.830985915
0.04,0.01,0.963236958,0.921894061,0.893939394
0.04,0.01,1.002566929,0.882564091,0.893939394
0.04,0.01,0.957054381,0.928076639,0.893939394
0.04,0.01,0.938385457,0.946745562,0.893939394
0.04,0.01,1.003586489,0.881544531,0.893939394
0.04,0.01,1.058449247,0.826681773,0.893939394
0.04,0.01,0.995988872,0.889142148,0.893939394
0.04,0.01,0.950845372,0.934285647,0.893939394
0.04,0.01,0.892782367,0.992348652,0.893939394
0.04,0.01,0.925356647,0.959774373,0.893939394
0.04,0.01,0.88260898,1.002522039,0.893939394
0.18,0.01,0.853233971,1.031897049,0.830985915
0.04,0.01,0.978627215,0.906503805,0.893939394
0.04,0.01,0.963489073,0.921641946,0.893939394
0.04,0.01,0.976265769,0.90886525,0.893939394
0.18,0.01,0.853233971,1.031897049,0.830985915
0.18,0.01,0.855110376,1.030020643,0.830985915
0.04,0.01,0.866805367,1.018325653,0.893939394
0.04,0.01,0.935617163,0.949513857,0.893939394
0.04,0.01,0.94321478,0.941916239,0.893939394
0.04,0.01,0.889776598,0.995354422,0.893939394
0.04,0.01,0.925814645,0.959316374,0.893939394
0.04,0.01,0.934941583,0.950189436,0.893939394
0.04,0.01,0.900981856,0.984149164,0.893939394
0.04,0.01,1.009089727,0.876041293,0.893939394
0.04,0.01,0.931348206,0.953782813,0.893939394
0.04,0.01,0.915220433,0.969910586,0.893939394
0.04,0.01,0.873285201,1.011845818,0.893939394
0.04,0.01,0.931096091,0.954034928,0.893939394
0.04,0.01,0.976265769,0.90886525,0.893939394
0.04,0.01,0.927824524,0.957306496,0.893939394
0.04,0.01,0.972345185,0.912785834,0.893939394
0.04,0.01,0.973292182,0.911838837,0.893939394
0.04,0.01,0.966245165,0.918885855,0.893939394
0.04,0.01,0.948953491,0.936177529,0.893939394
0.04,0.01,0.951577321,0.933553698,0.893939394
0.04,0.01,0.898691863,0.986439156,0.893939394
0.04,0.01,0.897973649,0.98715737,0.893939394
0.04,0.01,0.923094653,0.962036366,0.893939394
0.04,0.01,0.925068432,0.960062587,0.893939394
0.04,0.01,0.951962431,0.933168588,0.893939394
0.04,0.01,0.9848051,0.90032592,0.893939394
0.04,0.01,0.88855565,0.99657537,0.893939394
0.04,0.01,0.888757038,0.996373981,0.893939394
0.04,0.01,0.970526325,0.914604695,0.893939394
0.04,0.01,0.863111814,1.022019205,0.893939394
0.04,0.01,0.984795925,0.900335094,0.893939394
0.04,0.01,0.946726851,0.938404169,0.893939394
0.04,0.01,0.868229943,1.016901077,0.893939394
0.04,0.01,0.888338155,0.996792865,0.893939394
0.04,0.01,0.967660204,0.917470815,0.893939394
0.04,0.01,0.943033299,0.942097721,0.893939394
0.04,0.01,0.965694565,0.919436454,0.893939394
0.04,0.01,0.955530353,0.929600667,0.893939394
0.04,0.01,0.933598588,0.951532432,0.893939394
0.04,0.01,0.892927565,0.992203454,0.893939394
0.04,0.01,0.981488643,0.903642377,0.893939394
0.04,0.01,0.890907921,0.994223099,0.893939394
0.04,0.01,0.954728289,0.930402731,0.893939394
0.04,0.01,0.900335095,0.984795925,0.893939394
0.04,0.01,0.999756182,0.885374838,0.893939394
0.04,0.01,0.944364814,0.940766205,0.893939394
0.04,0.01,0.944051749,0.941079271,0.893939394
0.04,0.01,0.891311742,0.993819278,0.893939394
0.04,0.01,0.947528915,0.937602105,0.893939394
0.04,0.01,0.997798557,0.887332462,0.893939394
0.04,0.01,0.960263371,0.924867648,0.893939394
0.04,0.01,0.984401279,0.900729741,0.893939394
0.04,0.01,1.013188814,0.871942206,0.893939394
0.18,0.01,0.852758106,1.032372914,0.830985915
0.04,0.01,0.946726851,0.938404169,0.893939394
0.04,0.01,0.891311742,0.993819278,0.893939394
0.04,0.01,0.969910586,0.915220433,0.893939394
0.18,0.01,0.839801339,1.04532968,0.830985915
0.04,0.01,0.937384609,0.94774641,0.893939394
0.04,0.01,0.981103533,0.904027487,0.893939394
0.04,0.01,0.982913218,0.902217801,0.893939394
0.04,0.01,0.983858694,0.901272325,0.893939394
0.04,0.01,0.918930744,0.966200275,0.893939394
0.04,0.01,0.941608723,0.943522297,0.893939394
0.04,0.01,0.939835727,0.945295292,0.893939394
0.04,0.01,0.906503805,0.978627215,0.893939394
0.04,0.01,0.935013628,0.950117392,0.893939394
0.04,0.01,0.88855565,0.99657537,0.893939394
0.04,0.01,0.892378546,0.992752473,0.893939394
0.04,0.01,0.960648481,0.924482538,0.893939394
0.04,0.01,0.969910586,0.915220433,0.893939394
0.04,0.01,0.979229086,0.905901934,0.893939394
0.04,0.01,0.949826922,0.935304097,0.893939394
0.04,0.01,0.963958637,0.921172382,0.893939394
0.04,0.01,1.013279569,0.871851451,0.893939394
0.04,0.01,0.895550662,0.989580358,0.893939394
0.04,0.01,0.997448801,0.887682219,0.893939394
0.04,0.01,0.930402731,0.954728289,0.893939394
0.04,0.01,0.951026722,0.934104298,0.893939394
0.04,0.01,0.903955443,0.981175577,0.893939394
0.04,0.01,0.963958637,0.921172382,0.893939394
0.04,0.01,0.932951827,0.952179193,0.893939394
0.04,0.01,0.903737947,0.981393072,0.893939394
0.04,0.01,0.979319841,0.905811178,0.893939394
0.04,0.01,0.963489073,0.921641946,0.893939394
0.04,0.01,0.937769719,0.9473613,0.893939394
0.04,0.01,0.932861071,0.952269948,0.893939394
0.04,0.01,0.882251025,1.002879995,0.893939394
0.04,0.01,1.019253348,0.865877672,0.893939394
0.04,0.01,1.045016615,0.840114405,0.893939394
0.04,0.01,0.878788439,1.00634258,0.893939394
0.04,0.01,0.895134638,0.989996382,0.893939394
0.04,0.01,0.983455803,0.901675216,0.893939394
0.04,0.01,0.999250472,0.885880548,0.893939394
0.04,0.01,0.928579912,0.956551108,0.893939394
0.04,0.01,0.979319841,0.905811178,0.893939394
0.04,0.01,0.941295657,0.943835363,0.893939394
0.04,0.01,0.900765094,0.984365925,0.893939394
0.04,0.01,0.927429877,0.957701142,0.893939394
0.04,0.01,0.979319841,0.905811178,0.893939394
0.04,0.01,0.935032339,0.950098681,0.893939394
0.04,0.01,0.963489073,0.921641946,0.893939394
0.04,0.01,0.931096091,0.954034928,0.893939394
0.04,0.01,0.890161708,0.994969312,0.893939394
0.18,0.01,0.858280055,1.026850965,0.830985915
0.04,0.01,1.010754215,0.874376805,0.893939394
0.04,0.01,0.957099271,0.928031749,0.893939394
0.04,0.01,0.978843976,0.906287044,0.893939394
0.04,0.01,0.928176091,0.956954929,0.893939394
0.18,0.01,0.839325474,1.045805546,0.830985915
0.04,0.01,0.980157127,0.904973893,0.893939394
0.04,0.01,0.935013627,0.950117392,0.893939394
0.04,0.01,0.905811178,0.979319841,0.893939394
0.04,0.01,0.879734845,1.005396174,0.893939394
0.04,0.01,1.009089726,0.876041293,0.893939394
0.04,0.01,1.035451837,0.849679182,0.893939394
0.04,0.01,0.977463313,0.907667706,0.893939394
0.04,0.01,0.928031749,0.957099271,0.893939394
0.04,0.01,0.965307934,0.919823086,0.893939394
0.04,0.01,0.968966133,0.916164887,0.893939394
0.04,0.01,0.865877672,1.019253348,0.893939394
0.04,0.01,0.910688803,0.974442216,0.893939394
0.04,0.01,0.950845372,0.934285647,0.893939394
0.04,0.01,0.962828445,0.922302574,0.893939394
0.04,0.01,1.027254786,0.857876234,0.893939394
0.04,0.01,0.970128082,0.915002938,0.893939394
0.18,0.01,0.858280055,1.026850965,0.830985915
0.04,0.01,0.943522297,0.941608723,0.893939394
0.04,0.01,0.918002704,0.967128316,0.893939394
0.04,0.01,0.921894061,0.963236958,0.893939394
0.04,0.01,0.885880548,0.999250472,0.893939394
0.04,0.01,0.888242584,0.996888435,0.893939394
0.04,0.01,0.922297882,0.962833137,0.893939394
0.04,0.01,0.905453223,0.979677797,0.893939394
0.04,0.01,0.934628518,0.950502502,0.893939394
0.04,0.01,0.927646639,0.957484381,0.893939394
0.04,0.01,0.955126532,0.930004488,0.893939394
0.04,0.01,0.95143298,0.93369804,0.893939394
0.04,0.01,0.978843976,0.906287043,0.893939394
0.04,0.01,0.893673778,0.991457241,0.893939394
0.04,0.01,0.93759409,0.94753693,0.893939394
0.04,0.01,0.898920055,0.986210965,0.893939394
0.04,0.01,0.949482942,0.935648077,0.893939394
0.04,0.01,1.000590002,0.884541017,0.893939394
0.04,0.01,0.990538966,0.894592053,0.893939394
0.04,0.01,0.997394736,0.887736283,0.893939394
0.04,0.01,1.001107,0.88402402,0.893939394
0.04,0.01,0.996373981,0.888757038,0.893939394
0.04,0.01,0.982443654,0.902687365,0.893939394
0.04,0.01,0.973797892,0.911333128,0.893939394
0.04,0.01,0.943033299,0.942097721,0.893939394
0.04,0.01,0.969480587,0.915650433,0.893939394
0.04,0.01,0.93639429,0.948736729,0.893939394
0.04,0.01,0.918930745,0.966200275,0.893939394
0.04,0.01,0.935648077,0.949482942,0.893939394
0.04,0.01,0.928031749,0.957099271,0.893939394
0.04,0.01,0.914200874,0.970930146,0.893939394
0.04,0.01,0.912785834,0.972345185,0.893939394
0.04,0.01,0.960865976,0.924265043,0.893939394
0.04,0.01,0.990538966,0.894592053,0.893939394
0.04,0.01,0.882205159,1.00292586,0.893939394
0.04,0.01,0.88177516,1.00335586,0.893939394
0.04,0.01,0.908639314,0.976491706,0.893939394
0.04,0.01,0.871897316,1.013233703,0.893939394
0.04,0.01,0.930787841,0.954343179,0.893939394
0.04,0.01,0.990510836,0.894620184,0.893939394
0.04,0.01,0.970930146,0.914200874,0.893939394
0.04,0.01,0.903642377,0.981488643,0.893939394
0.04,0.01,0.99657537,0.88855565,0.893939394
0.04,0.01,0.903642377,0.981488643,0.893939394
0.04,0.01,1.017921832,0.867209188,0.893939394
0.04,0.01,0.936177529,0.948953491,0.893939394
0.04,0.01,0.976491706,0.908639314,0.893939394
0.18,0.01,0.860237679,1.02489334,0.830985915
0.04,0.01,0.938383021,0.946747999,0.893939394
0.04,0.01,0.935304097,0.949826922,0.893939394
0.04,0.01,0.991842351,0.893288668,0.893939394
0.04,0.01,0.989176536,0.895954483,0.893939394
0.04,0.01,0.91202091,0.97311011,0.893939394
0.04,0.01,0.892378546,0.992752473,0.893939394
0.04,0.01,0.934628518,0.950502502,0.893939394
0.04,0.01,0.989923228,0.895207792,0.893939394
0.04,0.01,1.013188814,0.871942206,0.893939394
0.04,0.01,0.935417449,0.949713571,0.893939394
0.04,0.01,0.956954929,0.928176091,0.893939394
0.04,0.01,0.901675216,0.983455803,0.893939394
0.04,0.01,0.963874183,0.921256837,0.893939394
0.04,0.01,0.914101422,0.971029598,0.893939394
0.18,0.01,0.85244504,1.03268598,0.830985915
0.04,0.01,1.013279569,0.871851451,0.893939394
0.04,0.01,0.976048274,0.909082746,0.893939394
0.04,0.01,0.8773734,1.00775762,0.893939394
